candidate_time,source,confidence,reason
0:00.10,acoustic_novelty+vocal_enter,0.95,第一次完整主唱进入；频谱/节奏/音色综合 novelty 峰值
0:15.72,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
0:40.43,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
1:25.26,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
1:37.57,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
2:01.32,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
2:06.90,acoustic_novelty,0.69,频谱/节奏/音色综合 novelty 峰值
2:38.20,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
2:42.68,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
2:57.08,acoustic_novelty,0.62,频谱/节奏/音色综合 novelty 峰值
3:00.42,acoustic_novelty,0.77,频谱/节奏/音色综合 novelty 峰值
3:04.18,acoustic_novelty,0.56,频谱/节奏/音色综合 novelty 峰值
3:06.85,acoustic_novelty,0.66,频谱/节奏/音色综合 novelty 峰值
3:10.43,acoustic_novelty,0.84,频谱/节奏/音色综合 novelty 峰值
3:19.71,acoustic_novelty,0.84,频谱/节奏/音色综合 novelty 峰值
3:31.72,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
3:42.68,acoustic_novelty,0.84,频谱/节奏/音色综合 novelty 峰值
3:49.85,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
3:55.68,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
4:08.20,acoustic_novelty,0.53,频谱/节奏/音色综合 novelty 峰值
4:12.08,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
4:32.81,acoustic_novelty,0.95,频谱/节奏/音色综合 novelty 峰值
4:36.85,acoustic_novelty,0.64,频谱/节奏/音色综合 novelty 峰值
4:39.99,acoustic_novelty,0.82,频谱/节奏/音色综合 novelty 峰值
4:48.04,acoustic_novelty,0.93,频谱/节奏/音色综合 novelty 峰值
5:02.37,acoustic_novelty,0.72,频谱/节奏/音色综合 novelty 峰值
5:05.06,acoustic_novelty,0.64,频谱/节奏/音色综合 novelty 峰值
5:19.39,acoustic_novelty,0.8,频谱/节奏/音色综合 novelty 峰值
5:28.35,acoustic_novelty,0.59,频谱/节奏/音色综合 novelty 峰值
5:31.02,acoustic_novelty,0.54,频谱/节奏/音色综合 novelty 峰值
5:33.72,acoustic_novelty,0.59,频谱/节奏/音色综合 novelty 峰值
5:42.68,acoustic_novelty,0.54,频谱/节奏/音色综合 novelty 峰值
5:48.09,acoustic_novelty,0.57,频谱/节奏/音色综合 novelty 峰值
5:50.97,acoustic_novelty,0.58,频谱/节奏/音色综合 novelty 峰值
