line_index,start_time,end_time,text_ref,char_count,draft_role,rms,onset,centroid,novelty,chroma_peak,chroma_strength
0,0:00.10,0:00.60,line_000,44,pre_chorus,0.000118,0.041343,2212.791,0.056433,0,0.140873
1,0:00.20,0:00.70,line_001,5,pre_chorus,0.000269,0.297936,3064.314,0.05602,4,0.130437
2,0:00.25,0:00.75,line_002,15,pre_chorus,0.000361,0.305325,3313.24,0.073486,4,0.135428
3,0:00.30,0:04.83,line_003,15,pre_chorus,0.102253,1.424082,2823.076,0.122271,8,0.152285
4,0:04.83,0:07.91,line_004,12,pre_chorus,0.092181,1.275698,2697.738,0.100748,1,0.182896
5,0:07.91,0:10.69,line_005,13,pre_chorus,0.13278,1.391985,2632.283,0.127024,10,0.174119
6,0:10.69,0:15.08,line_006,15,pre_chorus,0.142099,1.16015,2346.387,0.086459,10,0.278102
7,0:15.08,0:18.67,line_007,6,pre_chorus,0.115442,1.122595,2485.403,0.073936,6,0.223612
8,0:18.67,0:40.43,line_008,7,chorus,0.093021,1.209214,2708.138,0.071309,3,0.13314
9,0:40.43,0:43.85,line_009,12,chorus,0.081958,1.705621,2496.049,0.113941,6,0.144849
10,0:43.85,0:47.59,line_010,12,chorus,0.083463,1.528878,2448.873,0.104418,6,0.166913
11,0:47.59,0:54.74,line_011,18,chorus,0.064707,1.613755,2503.256,0.104919,1,0.144533
12,0:54.74,0:58.36,line_012,12,verse,0.066018,1.636237,2498.479,0.117915,11,0.14665
13,0:58.36,1:01.84,line_013,12,verse,0.069545,1.714268,2507.83,0.12618,6,0.150119
14,1:01.84,1:08.86,line_014,18,verse,0.080195,1.632851,2621.52,0.09931,3,0.145907
15,1:08.86,1:10.28,line_015,1,verse,0.10414,1.359914,2699.347,0.078791,11,0.129381
16,1:10.28,1:13.76,line_016,15,verse,0.115064,1.46035,2092.156,0.083856,1,0.168885
17,1:13.76,1:16.13,line_017,6,verse,0.106202,1.422373,2163.482,0.087481,10,0.191052
18,1:16.13,1:17.49,line_018,1,verse,0.121485,1.173958,1812.296,0.06562,11,0.169677
19,1:17.49,1:22.71,line_019,14,verse,0.140365,1.331242,2240.115,0.075361,6,0.168241
20,1:22.71,1:26.39,line_020,11,verse,0.128674,1.504161,2294.608,0.106416,1,0.119448
21,1:26.39,1:29.92,line_021,11,verse,0.108968,1.593751,2255.851,0.10844,10,0.124545
22,1:29.92,1:36.73,line_022,13,verse,0.145927,1.36878,2328.427,0.089616,6,0.144346
23,1:36.73,1:39.21,line_023,9,verse,0.143592,1.512386,3175.885,0.105828,6,0.143861
24,1:39.21,1:44.16,line_024,17,verse,0.167252,1.174738,2524.081,0.092076,1,0.142788
25,1:44.16,1:46.84,line_025,11,verse,0.167544,1.146862,2571.627,0.085381,6,0.146623
26,1:46.84,1:51.18,line_026,10,verse,0.195929,1.123788,2450.493,0.082083,1,0.1588
27,1:51.18,1:53.75,line_027,11,verse,0.180488,1.142625,2634.522,0.080051,10,0.1795
28,1:53.75,1:58.56,line_028,20,verse,0.165844,1.200163,2436.003,0.096182,1,0.1366
29,1:58.56,2:05.53,line_029,22,verse,0.193278,1.165125,2539.232,0.086217,6,0.145248
30,2:05.53,2:09.25,line_030,5,verse,0.179672,1.072423,2589.49,0.071214,11,0.135789
31,2:09.25,2:13.96,line_031,5,verse,0.149703,1.051817,2445.862,0.067545,6,0.21009
32,2:13.96,2:15.11,line_032,1,verse,0.077789,1.183208,2829.359,0.076261,3,0.179058
33,2:15.11,2:18.53,line_033,15,verse,0.108392,1.496743,2519.344,0.115528,5,0.171378
34,2:18.53,2:20.80,line_034,6,verse,0.089892,1.601024,2422.97,0.127287,1,0.177076
35,2:20.80,2:22.18,line_035,1,verse,0.086776,1.252132,2462.184,0.080422,3,0.270162
36,2:22.18,2:27.35,line_036,14,verse,0.138104,1.382221,2675.686,0.093357,6,0.181238
37,2:27.35,2:31.09,line_037,11,verse,0.122132,1.701637,2934.194,0.141028,6,0.115084
38,2:31.09,2:34.68,line_038,11,verse,0.108778,1.732035,2856.201,0.137097,3,0.128908
39,2:34.68,2:41.30,line_039,13,verse,0.149208,1.462784,2716.477,0.109191,6,0.157452
40,2:41.30,2:44.17,line_040,11,verse,0.161836,1.274435,3216.842,0.101785,11,0.12503
41,2:44.17,2:48.93,line_041,20,verse,0.171301,1.071954,2740.122,0.086416,1,0.141373
42,2:48.93,2:55.83,line_042,22,verse,0.205526,1.074201,2869.259,0.083642,6,0.141936
43,2:55.83,2:59.43,line_043,5,verse,0.199672,1.000904,2855.112,0.069483,6,0.14323
44,2:59.43,3:03.72,line_044,5,verse,0.182189,1.057509,2887.999,0.069762,6,0.196221
45,3:03.72,3:10.23,line_045,5,verse,0.168981,1.040497,2654.592,0.060828,1,0.15996
46,3:10.23,3:17.65,line_046,5,verse,0.184097,1.052436,2698.351,0.064439,1,0.126658
47,3:17.65,3:24.30,line_047,6,verse,0.179956,1.067099,2643.331,0.065152,1,0.137266
48,3:24.30,3:28.42,line_048,13,verse,0.160289,1.174311,2693.446,0.086935,1,0.120868
49,3:28.42,3:32.00,line_049,13,verse,0.185097,1.24424,2821.94,0.107301,3,0.125248
50,3:32.00,3:38.93,line_050,13,verse,0.181267,1.134216,2641.568,0.077276,6,0.140885
51,3:38.93,3:41.40,line_051,9,verse,0.198451,1.037258,2998.262,0.080914,11,0.132615
52,3:41.40,3:46.31,line_052,18,verse,0.176508,1.068733,2793.205,0.079851,1,0.149275
53,3:46.31,3:48.50,line_053,11,verse,0.184285,1.023597,2914.535,0.081956,6,0.135565
