line_index,start_time,end_time,text,draft_role,rms,onset,centroid,novelty,chroma_peak,chroma_strength
0,0:26.00,0:29.00,如果沒有遇見你,verse,0.180243,1.210843,1092.867,0.113236,0,0.129904
1,0:29.00,0:32.00,我將會是在哪裡,verse,0.131508,1.300184,1106.104,0.110252,2,0.142958
2,0:32.00,0:35.00,日子過得怎麼樣,verse,0.136708,1.343447,1125.346,0.100864,10,0.16411
3,0:35.00,0:39.00,人生是不要珍惜,pre_chorus,0.134647,1.232378,1211.586,0.099577,2,0.127521
4,0:39.00,0:42.00,也許人是某一人,pre_chorus,0.146831,1.201463,1294.438,0.09412,5,0.144067
5,0:42.00,0:46.00,過著平凡的日子,pre_chorus,0.150459,1.256048,965.743,0.098017,9,0.202343
6,0:46.00,0:49.00,不知道會不會,pre_chorus,0.145962,1.355192,1078.419,0.114572,5,0.127595
7,0:49.00,0:53.00,也有愛情天如迷,pre_chorus,0.151882,1.246157,1300.373,0.09147,2,0.141108
8,0:53.00,0:57.00,人世光匆匆流去,pre_chorus,0.197955,1.242847,1674.74,0.109353,5,0.125328
9,0:57.00,1:01.00,我只在和你,chorus,0.179886,1.235294,1328.276,0.093351,2,0.137636
10,1:01.00,1:08.00,心甘情願感染你的氣息,chorus,0.172841,1.230754,1589.779,0.098614,2,0.128734
11,1:08.00,1:15.00,人生幾何能夠得到知己,chorus,0.204822,1.302219,1391.931,0.110513,9,0.123459
12,1:15.00,1:21.00,失去生命的力量也不可惜,chorus,0.218436,1.343768,1698.93,0.116673,7,0.144517
13,1:21.00,1:25.00,所以我求求你,chorus,0.220431,1.307459,1752.135,0.113194,1,0.114039
14,1:25.00,1:29.00,別讓我離開你,chorus,0.198111,1.28304,1537.219,0.107753,0,0.126704
15,1:29.00,1:38.00,除了你我不能感到一絲絲情意,verse,0.201799,1.234199,1558.422,0.107868,5,0.129041
16,1:55.00,1:58.00,如果有那麼一天,verse,0.138313,1.258619,1203.65,0.110932,0,0.118616
17,1:58.00,2:01.00,你說即將要離去,verse,0.140198,1.305693,1288.188,0.111227,2,0.140103
18,2:01.00,2:05.00,我會迷失我自己,verse,0.142834,1.247242,1207.312,0.099334,10,0.141462
19,2:05.00,2:08.00,從無邊海裡,pre_chorus,0.125228,1.214729,1146.258,0.094607,2,0.156782
20,2:08.00,2:12.00,不論什麼諾言,pre_chorus,0.141446,1.154312,1060.71,0.086691,9,0.138271
21,2:12.00,2:15.00,只要天天在一起,pre_chorus,0.151257,1.250209,1132.45,0.099331,9,0.160002
22,2:15.00,2:19.00,我不能置以告,pre_chorus,0.146905,1.317429,924.609,0.101607,5,0.124542
23,2:19.00,2:23.00,偏偏回憶活下去,pre_chorus,0.185707,1.365739,1461.258,0.111985,2,0.137466
24,2:23.00,2:26.00,人世光匆匆流去,pre_chorus,0.224767,1.243595,1742.425,0.114558,5,0.127908
25,2:26.00,2:30.00,我只在和你,chorus,0.197177,1.224117,1370.446,0.101561,2,0.143928
26,2:30.00,2:37.00,心甘情願感染你的氣息,chorus,0.187073,1.259257,1579.488,0.103774,2,0.129501
27,2:37.00,2:44.00,人生幾何能夠得到知己,chorus,0.209413,1.308428,1430.216,0.110185,9,0.123693
28,2:44.00,2:51.00,失去生命的力量也不可惜,chorus,0.228869,1.354323,1833.862,0.114866,7,0.142974
29,2:51.00,2:55.00,所以我求求你,verse,0.2203,1.25833,1726.592,0.106759,1,0.118618
30,2:55.00,2:59.00,別讓我離開你,pre_chorus,0.207171,1.244411,1449.717,0.103251,0,0.123226
31,2:59.00,3:13.00,除了你我不能感到一絲絲情意,pre_chorus,0.179679,1.191379,1603.32,0.100495,0,0.11424
32,3:13.00,3:16.00,人世光匆匆流去,pre_chorus,0.239226,1.207329,1727.02,0.11274,5,0.136036
33,3:16.00,3:20.00,我只在和你,chorus,0.203631,1.180118,1419.37,0.096861,2,0.158248
34,3:20.00,3:27.00,心甘情願感染你的氣息,chorus,0.177962,1.257435,1638.599,0.105383,2,0.12901
35,3:27.00,3:34.00,人生幾何能夠得到知己,chorus,0.213599,1.347061,1459.397,0.113305,9,0.119205
36,3:34.00,3:40.00,失去生命的力量也不可惜,chorus,0.242061,1.376586,1829.064,0.118721,7,0.144973
37,3:40.00,3:44.00,所以我求求你,verse,0.221278,1.239996,1799.414,0.102214,1,0.120517
38,3:44.00,3:48.00,別讓我離開你,verse,0.203371,1.240789,1510.845,0.110379,0,0.129911
39,3:48.00,3:59.00,除了你我不能感到一絲絲情意,verse,0.189662,1.168757,1629.887,0.098874,5,0.127714
