section_index,old_type,new_type,lyric_function_score,repetition_score,position_score,neighbor_score,acoustic_profile_score,template_score,final_score,reason
1,intro,verse,0.65,0.45,0.65,0.55,0.55,0.55,0.58,有完整歌词，intro/outro 硬约束降为开场 verse
2,verse,verse,0.8,0.45,0.65,0.55,0.55,0.55,0.63,保留原类型：全局结构未提供更强反证
3,pre-chorus,pre-chorus,0.65,0.45,0.55,0.55,0.55,0.55,0.57,保留原类型：全局结构未提供更强反证
4,chorus,chorus,0.8,0.7,0.55,0.55,0.55,0.65,0.67,保留 chorus：hook/final chorus/coda 功能优先
5,verse,verse,0.8,0.45,0.65,0.65,0.55,0.55,0.65,保留原类型：全局结构未提供更强反证
6,bridge,bridge,0.65,0.45,0.7,0.55,0.7,0.55,0.6,保留原类型：全局结构未提供更强反证
7,verse,verse,0.8,0.45,0.55,0.55,0.55,0.55,0.62,保留原类型：全局结构未提供更强反证
8,pre-chorus,pre-chorus,0.65,0.45,0.55,0.55,0.55,0.55,0.57,保留原类型：全局结构未提供更强反证
9,chorus,chorus,0.8,0.7,0.55,0.55,0.55,0.65,0.67,保留 chorus：hook/final chorus/coda 功能优先
10,verse,verse,0.8,0.45,0.55,0.55,0.55,0.55,0.62,保留原类型：全局结构未提供更强反证
11,pre-chorus,pre-chorus,0.65,0.45,0.55,0.55,0.55,0.55,0.57,保留原类型：全局结构未提供更强反证
12,chorus,chorus,0.8,0.7,0.55,0.55,0.55,0.65,0.67,保留 chorus：hook/final chorus/coda 功能优先
13,verse,verse,0.8,0.45,0.55,0.55,0.55,0.55,0.62,保留原类型：全局结构未提供更强反证
14,outro,outro,0.85,0.45,0.75,0.55,0.7,0.55,0.68,无完整歌词且在结尾，标 outro
