line_index,start_time,end_time,text,draft_role,rms,onset,centroid,novelty,chroma_peak,chroma_strength
0,0:15.00,0:17.60,多想你醒来,verse,0.062916,1.243323,2764.943,0.102025,0,0.176507
1,0:17.60,0:22.20,沉风就能扶平忧伤,verse,0.061944,1.263314,1961.696,0.099783,10,0.14572
2,0:22.20,0:24.80,多想你转身,verse,0.065205,1.313154,2697.834,0.094243,5,0.244093
3,0:24.80,0:29.80,不光就融化掉冰霜,verse,0.064751,1.098557,1331.011,0.079264,7,0.200511
4,0:29.80,0:35.60,多想你抬头看见你微笑的脸庞,verse,0.110777,1.264913,1660.139,0.08752,0,0.189202
5,0:35.60,0:42.80,多想你能够把喜怒害了对我讲,verse,0.092548,1.18257,1378.8,0.076973,0,0.214458
6,0:42.80,0:46.40,多想你家人心潮着同一个方向,pre_chorus,0.13115,1.509027,2114.345,0.116656,5,0.144499
7,0:46.40,0:50.00,多想你路上包容着温暖的体量,pre_chorus,0.153667,1.480626,1732.426,0.111287,9,0.162635
8,0:50.00,0:53.60,多想你放下世界就还给你梦想,pre_chorus,0.161304,1.583669,2298.768,0.124385,5,0.188137
9,0:53.60,0:57.20,多想你知道爱就在我心底流淌,pre_chorus,0.184188,1.666425,2492.442,0.11867,0,0.213742
10,0:57.20,1:00.80,生活总该因着光亮,chorus,0.255606,1.198562,2343.139,0.088363,2,0.179139
11,1:00.80,1:04.20,在跌跌撞撞也要坚强,chorus,0.267195,1.245301,2437.136,0.088841,10,0.16592
12,1:04.20,1:06.80,数着流星降落你肩膀,chorus,0.240545,1.21365,2592.318,0.092354,5,0.182657
13,1:06.80,1:11.40,而我一直陪伴在你身旁,chorus,0.265677,1.184889,2397.123,0.086599,7,0.142256
14,1:11.40,1:15.00,生活总该因着光亮,chorus,0.266302,1.171393,2324.046,0.085854,2,0.157552
15,1:15.00,1:18.60,时光过后拥抱更多希望,chorus,0.26716,1.172078,2449.949,0.085677,10,0.15889
16,1:18.60,1:20.60,夜的尽头叫错阳光,chorus,0.240739,1.258745,2472.361,0.107019,5,0.13496
17,1:20.60,1:41.00,手中的幸福终将会绽放,chorus,0.128073,0.961807,1362.171,0.06248,0,0.1496
18,1:41.00,1:43.60,多想你醒来,verse,0.154579,1.151049,2041.296,0.079815,2,0.201283
19,1:43.60,1:48.20,沉风就能扶平忧伤,verse,0.162026,1.358776,1548.88,0.095497,10,0.163578
20,1:48.20,1:50.80,多想你转身,verse,0.164939,1.272925,2044.853,0.08122,5,0.283673
21,1:50.80,1:55.80,目光就融化掉冰霜,verse,0.164074,1.228033,1592.148,0.081502,0,0.188729
22,1:55.80,2:01.60,多想你抬头看见你微笑的脸庞,verse,0.199034,1.312357,1760.056,0.093561,10,0.126664
23,2:01.60,2:08.80,多想你能够把喜怒害了对我讲,verse,0.222924,1.238827,1460.972,0.08601,5,0.145561
24,2:08.80,2:12.40,多想你家人心潮着同一个方向,pre_chorus,0.251869,1.341563,2047.965,0.103948,2,0.164487
25,2:12.40,2:16.00,多想你路上包容着温暖的体量,pre_chorus,0.242984,1.517962,1727.274,0.110176,10,0.163861
26,2:16.00,2:19.60,多想你放下世界就还给你梦想,pre_chorus,0.253037,1.486185,2060.848,0.11092,5,0.202613
27,2:19.60,2:23.20,多想你知道爱就在我心底流淌,pre_chorus,0.282936,1.589046,2366.991,0.117463,0,0.158004
28,2:23.20,2:26.80,生活总该因着光亮,chorus,0.266077,1.196091,2425.108,0.090431,2,0.176755
29,2:26.80,2:30.20,在跌跌撞撞也要坚强,chorus,0.272291,1.189782,2414.726,0.085121,10,0.150673
30,2:30.20,2:32.80,数着流星降落你肩膀,chorus,0.260461,1.22087,2490.142,0.091871,5,0.181834
31,2:32.80,2:37.40,而我一直陪伴在你身旁,chorus,0.251113,1.168531,2351.334,0.086354,0,0.137314
32,2:37.40,2:41.00,生活总该因着光亮,chorus,0.280318,1.1402,2355.803,0.082376,2,0.179042
33,2:41.00,2:44.60,时光过后拥抱更多希望,chorus,0.272562,1.188347,2371.094,0.084553,10,0.155987
34,2:44.60,2:46.60,夜的尽头叫做阳光,chorus,0.250348,1.233101,2514.219,0.100519,5,0.156278
35,2:46.60,3:06.00,手中的幸福终将会绽放,chorus,0.244708,1.098404,2307.111,0.073284,0,0.128868
36,3:06.00,3:09.60,生活总该因着光亮,chorus,0.114416,1.180847,2827.427,0.105997,0,0.171954
37,3:09.60,3:13.20,在跌跌撞撞也要坚强,chorus,0.070189,1.437237,3632.954,0.131681,10,0.162527
38,3:13.20,3:15.80,数着流星降落你肩膀,chorus,0.124926,1.588567,2889.736,0.135191,9,0.226882
39,3:15.80,3:20.40,而我一直陪伴在你身旁,chorus,0.204683,1.360952,2561.421,0.097262,0,0.158845
40,3:20.40,3:24.00,生活总该因着光亮,chorus,0.301904,1.103721,2483.766,0.085151,2,0.154249
41,3:24.00,3:27.60,时光过后拥抱更多希望,chorus,0.288227,1.18467,2465.349,0.0897,10,0.142128
42,3:27.60,3:29.60,夜的尽头叫做阳光,chorus,0.30624,1.207474,2471.91,0.094774,5,0.172743
43,3:29.60,3:49.00,手中的幸福终将会绽放,chorus,0.129336,0.956765,2193.141,0.066311,5,0.180623
44,3:49.00,3:50.00,会绽放,verse,0.037702,1.294487,3136.116,0.106556,0,0.177393
45,3:59.60,4:00.60,会绽放,verse,0.001118,0.027864,1485.64,0.014063,5,0.38749
