line_index,start_time,end_time,text,draft_role,rms,onset,centroid,novelty,chroma_peak,chroma_strength
0,0:16.00,0:23.00,我遇見過千次百次的重逢,verse,0.055139,1.008726,2042.222,0.091882,7,0.187942
1,0:23.00,0:30.00,你卻始終站在夢裡難中空,verse,0.068165,1.073883,1600.896,0.091544,5,0.233288
2,0:30.00,0:37.00,太難回頭只能一直走不停,verse,0.067592,1.183153,2168.507,0.10014,0,0.159889
3,0:37.00,0:45.00,曾經兩個人流逝人海之中,verse,0.06654,1.106706,2641.484,0.092202,4,0.154459
4,0:45.00,0:49.00,明明不甘心 明明還在等,pre_chorus,0.120166,1.193251,2689.801,0.105312,4,0.179983
5,0:49.00,0:53.00,即便有假裝 早就不同,pre_chorus,0.092051,1.475991,2156.221,0.140278,4,0.173144
6,0:53.00,1:00.00,冰雲射望著你也在此行動,pre_chorus,0.107182,1.209588,2038.527,0.104072,4,0.147817
7,1:00.00,1:04.00,愈美好期待 愈容易落空,pre_chorus,0.12358,1.202649,1983.106,0.106896,5,0.144232
8,1:04.00,1:08.00,承認我不配 煩惱感輕鬆,pre_chorus,0.094648,1.354567,2252.557,0.1244,4,0.188995
9,1:08.00,1:15.00,有些愛與毒 只要自己才懂,pre_chorus,0.122864,1.139178,2010.059,0.103926,7,0.152829
10,1:16.00,1:19.00,水光紅苗中這份愛多偏向,chorus,0.239349,1.301357,2720.196,0.112183,5,0.274076
11,1:19.00,1:22.00,一方手腳下散掉,chorus,0.226322,1.351202,2488.501,0.129095,4,0.178842
12,1:22.00,1:26.00,回想灑脫一下 說一聲那麼長,chorus,0.207097,1.373112,2695.482,0.126072,2,0.155952
13,1:26.00,1:31.00,愛與你都不重要,chorus,0.218812,1.246951,2254.566,0.104312,7,0.176313
14,1:31.00,1:34.00,也許還會遇到另一個人,chorus,0.221461,1.274933,2995.714,0.111033,5,0.222223
15,1:34.00,1:38.00,許下相似的諾言,chorus,0.241747,1.277821,2520.573,0.110545,4,0.184123
16,1:38.00,1:45.00,我知道我難以做到,chorus,0.227421,1.19368,2408.748,0.09524,9,0.160857
17,2:00.00,2:04.00,明明不甘心 明明還在等,pre_chorus,0.169048,1.437337,2474.959,0.126995,5,0.189326
18,2:04.00,2:08.00,即便有假裝 早就不同,pre_chorus,0.165029,1.484774,2449.47,0.138375,4,0.171247
19,2:08.00,2:15.00,冰雲射望著你也在此行動,pre_chorus,0.188106,1.260611,2168.294,0.107426,7,0.150094
20,2:15.00,2:19.00,愈美好期待 愈容易落空,pre_chorus,0.190946,1.304527,2679.679,0.118036,5,0.16047
21,2:19.00,2:23.00,承認我不配 煩惱感輕鬆,pre_chorus,0.181641,1.318692,2534.491,0.122197,4,0.169352
22,2:23.00,2:30.00,有些愛與毒 只要自己才懂,pre_chorus,0.20989,1.247926,2565.878,0.114226,2,0.161183
23,2:31.00,2:34.00,水光紅苗中這份愛多偏向,chorus,0.248827,1.229885,2783.941,0.113057,5,0.23927
24,2:34.00,2:38.00,一方手腳下散掉,chorus,0.230156,1.375918,2564.455,0.131911,4,0.191105
25,2:38.00,2:41.00,回想灑脫一下 說一聲那麼長,chorus,0.224639,1.277652,2885.557,0.120886,2,0.176628
26,2:41.00,2:46.00,愛與你都不重要,chorus,0.230846,1.246646,2484.802,0.105657,7,0.193361
27,2:46.00,2:49.00,也許還會遇到另一個人,chorus,0.242424,1.179915,2945.614,0.103377,5,0.214674
28,2:49.00,2:54.00,許下相似的諾言,chorus,0.230353,1.245471,2553.725,0.111054,4,0.145069
29,2:54.00,3:01.00,我知道我難以做到,chorus,0.271846,1.153308,2509.29,0.095031,9,0.131119
30,3:12.00,3:15.00,水光紅苗中這份愛多偏向,chorus,0.19789,1.628111,3002.533,0.149942,4,0.166149
31,3:15.00,3:19.00,一方手腳下散掉,chorus,0.243869,1.302752,2773.638,0.1222,4,0.176213
32,3:19.00,3:21.00,你的心表向遠方,chorus,0.232882,1.311842,2618.0,0.118445,2,0.204604
33,3:21.00,3:23.00,我留不住也好,chorus,0.235418,1.290594,2693.406,0.115527,7,0.192598
34,3:23.00,3:27.00,終於哭比恨要好,chorus,0.235044,1.20366,2461.786,0.10652,0,0.186594
35,3:27.00,3:30.00,所有的滋味都在眼裡,chorus,0.241044,1.214774,2843.509,0.113624,5,0.183971
36,3:30.00,3:35.00,成天亮就繼續微笑,chorus,0.25262,1.252533,2485.684,0.1081,3,0.145474
37,3:35.00,3:42.00,我知道我可以做到,chorus,0.237107,1.005369,2422.422,0.078224,9,0.230207
38,3:42.00,3:51.00,我知道我難以做到,chorus,0.090829,1.119061,2004.772,0.098237,4,0.21017
39,3:54.00,4:01.00,愛與你都不重要,chorus,0.051017,0.812201,1009.933,0.060329,0,0.16092
40,4:01.00,4:11.00,愛與你都不重要,chorus,0.00979,0.344639,1422.608,0.027879,7,0.298209
