start_time,end_time,text,avg_logprob,no_speech_prob
0:00.00,0:04.80,我們將奔向各自的那邊比海藍天,-0.4108,0.7712
0:04.80,0:07.80,而這世人心前最後告別,-0.4108,0.7712
0:07.80,0:10.80,謝謝你曾陪我走過那歲月,-0.4108,0.7712
0:10.80,0:14.80,我只有太多人太多事,-0.4108,0.7712
0:14.80,0:22.80,是相依親是其一回,-0.4108,0.7712
0:30.00,0:40.00,Zither Harp,-0.4022,0.4222
0:40.00,0:44.00,回避著小三年半的陽光,-0.4022,0.4222
0:44.00,0:47.00,像影子般悲哩的模糊而漫長,-0.4022,0.4222
0:47.00,0:50.00,它就在身後供你握肩,-0.4022,0.4222
0:50.00,0:55.00,但是千百次會透露,-0.4022,0.4222
0:55.00,0:58.00,我數值的少年們都終將成長,-0.4022,0.4222
0:58.00,1:02.00,痛哭過的效果會回首去遠方,-0.2248,0.0941
1:02.00,1:05.00,他們會如我祝願的那樣,-0.2248,0.0941
1:05.00,1:09.00,成為自己的太陽,-0.2248,0.0941
1:09.00,1:12.00,啊 這一路風雨不消,-0.2248,0.0941
1:12.00,1:16.00,等你們一路不要走過多少路口,-0.2248,0.0941
1:16.00,1:19.00,啊 為某生每次累了,-0.2248,0.0941
1:19.00,1:23.00,都因歲月溫柔,-0.2248,0.0941
1:23.00,1:26.00,那些你與我一直追逐的,-0.2248,0.0941
1:26.00,1:30.00,已在措施的不曾得到的,-0.3068,0.1633
1:30.00,1:37.00,希望那些都不會被流光消磨,-0.3068,0.1633
1:37.00,1:39.00,有人說這生迷入長堂,-0.3068,0.1633
1:39.00,1:41.00,我們讀的風波,-0.3068,0.1633
1:41.00,1:44.00,是這世間最尋常的點末,-0.3068,0.1633
1:44.00,1:47.00,它不足以讓我們修成掌控,-0.3068,0.1633
1:47.00,1:51.00,只足以讓我們難忘的生,-0.3068,0.1633
1:51.00,1:53.00,這些年我的曾路,-0.3068,0.1633
1:53.00,1:55.00,折沉高可參放過,-0.3749,0.018
1:55.00,1:56.00,比夜空過被疼過,-0.3749,0.018
1:56.00,1:59.00,你的天狗不再還活,-0.3749,0.018
1:59.00,2:00.00,和你一起逛逛,-0.3749,0.018
2:00.00,2:02.00,也曾無界咳嗽,-0.3749,0.018
2:02.00,2:06.00,到如今都已拼一笑而過,-0.3749,0.018
2:06.00,2:10.00,你我那天狗,-0.3749,0.018
2:10.00,2:14.00,我向那海闊,-0.3749,0.018
2:14.00,2:17.00,啊 這一路風雨不消,-0.3749,0.018
2:17.00,2:21.00,等你們一路不要走過多少路口,-0.3749,0.018
2:22.00,2:24.00,回眸是每次累了,-0.0481,0.0101
2:24.00,2:27.00,都因歲月溫柔,-0.0481,0.0101
2:27.00,2:31.00,那些你與我一直追逐的,-0.0481,0.0101
2:31.00,2:35.00,已在措施的不曾得到的,-0.0481,0.0101
2:35.00,2:42.00,希望那些都不會被流光消磨,-0.0481,0.0101
2:42.00,2:43.00,這些年我的曾路,-0.0481,0.0101
2:43.00,2:44.00,折沉高可參放過,-0.0481,0.0101
2:44.00,2:46.00,比夜空過被疼過,-0.0481,0.0101
2:46.00,2:49.00,你的天狗不再還活,-0.0481,0.0101
2:49.00,2:50.00,和你一起逛逛,-0.0974,0.0078
2:50.00,2:52.00,也曾無界咳嗽,-0.0974,0.0078
2:52.00,2:56.00,到如今都已拼一笑而過,-0.0974,0.0078
2:56.00,3:00.00,你我那天狗,-0.0974,0.0078
3:00.00,3:04.00,我向那海闊,-0.0974,0.0078
3:04.00,3:11.00,啊 這一路風雨不消,-0.0974,0.0078
3:11.00,3:18.00,等你們一路不要走過多少路口,-0.0974,0.0078
3:18.00,3:24.00,又回憶錯綱綱,-0.3091,0.019
3:24.00,3:26.00,整只年少輕狂,-0.3091,0.019
3:26.00,3:28.00,愛的都是虛妄,-0.3091,0.019
3:28.00,3:30.00,追的都是天光,-0.3091,0.019
3:30.00,3:32.00,我的故事荒唐,-0.3091,0.019
3:32.00,3:34.00,卻在心上,-0.3091,0.019
3:34.00,3:39.00,剋下最無憂的時光,-0.3091,0.019
3:39.00,3:41.00,你許未來會有待一天,-0.3091,0.019
3:41.00,3:43.00,當你閉上雙眼,-0.3091,0.019
3:43.00,3:46.00,旁邊又回到了那幻畫面,-0.3091,0.019
3:46.00,3:49.00,那時某人遙遠你我人少年,-0.3534,0.2994
3:49.00,3:53.00,以為天天叫救護處鬧天,-0.3534,0.2994
