start_time,end_time,text,avg_logprob,no_speech_prob
0:00.00,0:15.00,Zither Harp,-0.3946,0.7577
0:15.00,0:17.60,多想你醒来,-0.3946,0.7577
0:17.60,0:22.20,沉风就能扶平忧伤,-0.3946,0.7577
0:22.20,0:24.80,多想你转身,-0.3946,0.7577
0:24.80,0:29.80,不光就融化掉冰霜,-0.3946,0.7577
0:29.80,0:35.60,多想你抬头看见你微笑的脸庞,-0.1587,0.0004
0:35.60,0:42.80,多想你能够把喜怒害了对我讲,-0.1587,0.0004
0:42.80,0:46.40,多想你家人心潮着同一个方向,-0.1587,0.0004
0:46.40,0:50.00,多想你路上包容着温暖的体量,-0.1587,0.0004
0:50.00,0:53.60,多想你放下世界就还给你梦想,-0.1587,0.0004
0:53.60,0:57.20,多想你知道爱就在我心底流淌,-0.1587,0.0004
0:57.20,1:00.80,生活总该因着光亮,-0.1984,0.0441
1:00.80,1:04.20,在跌跌撞撞也要坚强,-0.1984,0.0441
1:04.20,1:06.80,数着流星降落你肩膀,-0.1984,0.0441
1:06.80,1:11.40,而我一直陪伴在你身旁,-0.1984,0.0441
1:11.40,1:15.00,生活总该因着光亮,-0.1984,0.0441
1:15.00,1:18.60,时光过后拥抱更多希望,-0.1984,0.0441
1:18.60,1:20.60,夜的尽头叫错阳光,-0.1984,0.0441
1:20.60,1:41.00,手中的幸福终将会绽放,-0.174,0.1738
1:41.00,1:43.60,多想你醒来,-0.174,0.1738
1:43.60,1:48.20,沉风就能扶平忧伤,-0.174,0.1738
1:48.20,1:50.80,多想你转身,-0.0894,0.0056
1:50.80,1:55.80,目光就融化掉冰霜,-0.0894,0.0056
1:55.80,2:01.60,多想你抬头看见你微笑的脸庞,-0.0894,0.0056
2:01.60,2:08.80,多想你能够把喜怒害了对我讲,-0.0894,0.0056
2:08.80,2:12.40,多想你家人心潮着同一个方向,-0.0894,0.0056
2:12.40,2:16.00,多想你路上包容着温暖的体量,-0.0894,0.0056
2:16.00,2:19.60,多想你放下世界就还给你梦想,-0.0536,0.0356
2:19.60,2:23.20,多想你知道爱就在我心底流淌,-0.0536,0.0356
2:23.20,2:26.80,生活总该因着光亮,-0.0536,0.0356
2:26.80,2:30.20,在跌跌撞撞也要坚强,-0.0536,0.0356
2:30.20,2:32.80,数着流星降落你肩膀,-0.0536,0.0356
2:32.80,2:37.40,而我一直陪伴在你身旁,-0.0536,0.0356
2:37.40,2:41.00,生活总该因着光亮,-0.0536,0.0356
2:41.00,2:44.60,时光过后拥抱更多希望,-0.0536,0.0356
2:44.60,2:46.60,夜的尽头叫做阳光,-0.1082,0.0002
2:46.60,3:06.00,手中的幸福终将会绽放,-0.1082,0.0002
3:06.00,3:09.60,生活总该因着光亮,-0.1082,0.0002
3:09.60,3:13.20,在跌跌撞撞也要坚强,-0.1082,0.0002
3:13.20,3:15.80,数着流星降落你肩膀,-0.0628,0.0081
3:15.80,3:20.40,而我一直陪伴在你身旁,-0.0628,0.0081
3:20.40,3:24.00,生活总该因着光亮,-0.0628,0.0081
3:24.00,3:27.60,时光过后拥抱更多希望,-0.0628,0.0081
3:27.60,3:29.60,夜的尽头叫做阳光,-0.0628,0.0081
3:29.60,3:49.00,手中的幸福终将会绽放,-0.1998,0.9553
3:49.00,3:50.00,会绽放,-0.1998,0.9553
3:59.60,4:00.60,会绽放,-0.9271,0.9768
