start_time,end_time,text,avg_logprob,no_speech_prob
0:00.00,0:16.00,Zither Harp,-0.5742,0.599
0:16.00,0:23.00,我遇見過千次百次的重逢,-0.5742,0.599
0:23.00,0:30.00,你卻始終站在夢裡難中空,-0.2346,0.0849
0:30.00,0:37.00,太難回頭只能一直走不停,-0.2346,0.0849
0:37.00,0:45.00,曾經兩個人流逝人海之中,-0.2346,0.0849
0:45.00,0:49.00,明明不甘心 明明還在等,-0.2346,0.0849
0:49.00,0:53.00,即便有假裝 早就不同,-0.2889,0.1834
0:53.00,1:00.00,冰雲射望著你也在此行動,-0.2889,0.1834
1:00.00,1:04.00,愈美好期待 愈容易落空,-0.2889,0.1834
1:04.00,1:08.00,承認我不配 煩惱感輕鬆,-0.2889,0.1834
1:08.00,1:15.00,有些愛與毒 只要自己才懂,-0.2889,0.1834
1:16.00,1:19.00,水光紅苗中這份愛多偏向,-0.2903,0.1019
1:19.00,1:22.00,一方手腳下散掉,-0.2903,0.1019
1:22.00,1:26.00,回想灑脫一下 說一聲那麼長,-0.2903,0.1019
1:26.00,1:31.00,愛與你都不重要,-0.2903,0.1019
1:31.00,1:34.00,也許還會遇到另一個人,-0.2903,0.1019
1:34.00,1:38.00,許下相似的諾言,-0.2903,0.1019
1:38.00,1:45.00,我知道我難以做到,-0.1162,0.0054
2:00.00,2:04.00,明明不甘心 明明還在等,-0.1162,0.0054
2:04.00,2:08.00,即便有假裝 早就不同,-0.0326,0.0735
2:08.00,2:15.00,冰雲射望著你也在此行動,-0.0326,0.0735
2:15.00,2:19.00,愈美好期待 愈容易落空,-0.0326,0.0735
2:19.00,2:23.00,承認我不配 煩惱感輕鬆,-0.0326,0.0735
2:23.00,2:30.00,有些愛與毒 只要自己才懂,-0.0326,0.0735
2:31.00,2:34.00,水光紅苗中這份愛多偏向,-0.0302,0.0012
2:34.00,2:38.00,一方手腳下散掉,-0.0302,0.0012
2:38.00,2:41.00,回想灑脫一下 說一聲那麼長,-0.0302,0.0012
2:41.00,2:46.00,愛與你都不重要,-0.0302,0.0012
2:46.00,2:49.00,也許還會遇到另一個人,-0.0302,0.0012
2:49.00,2:54.00,許下相似的諾言,-0.0302,0.0012
2:54.00,3:01.00,我知道我難以做到,-0.1047,0.0039
3:12.00,3:15.00,水光紅苗中這份愛多偏向,-0.1047,0.0039
3:15.00,3:19.00,一方手腳下散掉,-0.1047,0.0039
3:19.00,3:21.00,你的心表向遠方,-0.1047,0.0039
3:21.00,3:23.00,我留不住也好,-0.1047,0.0039
3:23.00,3:27.00,終於哭比恨要好,-0.3429,0.0359
3:27.00,3:30.00,所有的滋味都在眼裡,-0.3429,0.0359
3:30.00,3:35.00,成天亮就繼續微笑,-0.3429,0.0359
3:35.00,3:42.00,我知道我可以做到,-0.3429,0.0359
3:42.00,3:51.00,我知道我難以做到,-0.3429,0.0359
3:54.00,4:01.00,愛與你都不重要,-0.6944,0.938
4:01.00,4:11.00,愛與你都不重要,-0.6944,0.938
