start_time,end_time,text,avg_logprob,no_speech_prob
0:00.00,0:25.00,Zither Harp,-0.5119,0.4528
0:26.00,0:29.00,如果沒有遇見你,-0.5119,0.4528
0:29.00,0:32.00,我將會是在哪裡,-0.1724,0.178
0:32.00,0:35.00,日子過得怎麼樣,-0.1724,0.178
0:35.00,0:39.00,人生是不要珍惜,-0.1724,0.178
0:39.00,0:42.00,也許人是某一人,-0.1724,0.178
0:42.00,0:46.00,過著平凡的日子,-0.1724,0.178
0:46.00,0:49.00,不知道會不會,-0.1724,0.178
0:49.00,0:53.00,也有愛情天如迷,-0.1724,0.178
0:53.00,0:57.00,人世光匆匆流去,-0.1724,0.178
0:57.00,1:01.00,我只在和你,-0.1087,0.4033
1:01.00,1:08.00,心甘情願感染你的氣息,-0.1087,0.4033
1:08.00,1:15.00,人生幾何能夠得到知己,-0.1087,0.4033
1:15.00,1:21.00,失去生命的力量也不可惜,-0.1087,0.4033
1:21.00,1:25.00,所以我求求你,-0.1087,0.4033
1:25.00,1:29.00,別讓我離開你,-0.2861,0.1552
1:29.00,1:38.00,除了你我不能感到一絲絲情意,-0.2861,0.1552
1:55.00,1:58.00,如果有那麼一天,-0.1681,0.0229
1:58.00,2:01.00,你說即將要離去,-0.1681,0.0229
2:01.00,2:05.00,我會迷失我自己,-0.1681,0.0229
2:05.00,2:08.00,從無邊海裡,-0.1681,0.0229
2:08.00,2:12.00,不論什麼諾言,-0.1681,0.0229
2:12.00,2:15.00,只要天天在一起,-0.1681,0.0229
2:15.00,2:19.00,我不能置以告,-0.1681,0.0229
2:19.00,2:23.00,偏偏回憶活下去,-0.1681,0.0229
2:23.00,2:26.00,人世光匆匆流去,-0.0319,0.0006
2:26.00,2:30.00,我只在和你,-0.0319,0.0006
2:30.00,2:37.00,心甘情願感染你的氣息,-0.0319,0.0006
2:37.00,2:44.00,人生幾何能夠得到知己,-0.0319,0.0006
2:44.00,2:51.00,失去生命的力量也不可惜,-0.0319,0.0006
2:51.00,2:55.00,所以我求求你,-0.0223,0.003
2:55.00,2:59.00,別讓我離開你,-0.0223,0.003
2:59.00,3:13.00,除了你我不能感到一絲絲情意,-0.0223,0.003
3:13.00,3:16.00,人世光匆匆流去,-0.0223,0.003
3:16.00,3:20.00,我只在和你,-0.0223,0.003
3:20.00,3:27.00,心甘情願感染你的氣息,-0.0134,0.0056
3:27.00,3:34.00,人生幾何能夠得到知己,-0.0134,0.0056
3:34.00,3:40.00,失去生命的力量也不可惜,-0.0134,0.0056
3:40.00,3:44.00,所以我求求你,-0.0134,0.0056
3:44.00,3:48.00,別讓我離開你,-0.0134,0.0056
3:48.00,3:59.00,除了你我不能感到一絲絲情意,-0.1373,0.0042
